ave_born,ave_start_work,dept_num,dept_worker_num,ave_prof,mach_cat,meth_cat,time
1999,2017,25,22,0.2067980151602844,1,2,1
1992,2015,18,11,0.4896922056264992,1,1,4
1989,2020,19,17,0.22294095052354168,1,1,3
1999,2020,25,21,0.73326970578735,2,2,3
1998,2020,29,26,0.44734563845595676,1,1,1
1968,1998,28,25,0.9862690820408606,1,3,1
1967,2000,25,20,0.523070761059243,3,3,2
1960,1997,18,13,0.6332455801450619,1,3,5
1996,2020,23,17,0.8556981944702863,3,3,1
1978,2011,24,22,0.7499507856597079,1,1,3
1972,2008,15,8,0.41467819540038153,3,1,2
1994,2020,17,9,0.47157605674869785,1,1,5
1983,2006,27,21,0.8222703668799293,1,3,2
1968,1988,23,14,0.1721547375088437,3,2,1
1997,2017,26,20,0.11804646945386332,3,1,5
1994,2020,28,21,0.7851129327692413,2,2,2
1996,2019,13,8,0.33654572098981517,2,2,4
1971,1999,16,10,0.8597535942473913,3,3,4
1964,1993,20,18,0.5428543083369775,2,2,5
1967,2004,21,15,0.6162825790706178,1,2,2
1993,2019,15,7,0.4914924420045963,3,1,2
1996,2020,11,3,0.23142443303297577,2,1,2
1986,2014,23,21,0.247121772386101,2,1,4
1963,1988,10,4,0.5143498250411519,3,3,5
1984,2010,15,7,0.2174667468927518,2,3,4
1968,1997,24,15,0.9268297984224049,3,1,4
1994,2012,19,11,0.399067630155024,2,2,4
1991,2015,26,18,0.6001697124438902,3,3,3
1966,2000,18,13,0.01747935231295117,2,1,3
1999,2020,12,10,0.21217459200055888,3,1,4
1981,2011,25,19,0.4494886543585215,1,3,4
1960,1988,17,13,0.18313498863095656,2,2,2
2000,2020,15,7,0.020838578370791838,3,2,4
1981,2006,25,20,0.974079559190365,3,1,1
1973,2006,11,3,0.15399494411985903,3,1,2
1992,2018,28,23,0.710510808953943,3,2,2
1968,1998,22,19,0.15658618090388543,3,2,4
1984,2014,14,7,0.1116549433887356,2,2,5
2000,2020,29,21,0.10187886740081376,1,1,4
1983,2010,21,17,0.6573164323161118,1,2,2
1976,1994,16,7,0.6955058339064478,2,1,2
1976,2001,20,16,0.06989974089561868,2,1,4
1993,2020,12,7,0.4282974242382842,2,1,1
1977,2012,22,15,0.8988575888115775,1,2,3
1961,1993,23,15,0.6620374748041884,2,2,1
1962,1996,13,8,0.09124159158975509,3,2,4
1981,2016,27,18,0.06850045706353602,3,3,5
1961,1982,16,8,0.4464591754609196,1,3,5
1994,2020,18,11,0.5476141796992425,3,1,2
1960,1988,13,7,0.19882799213915958,3,1,4
1998,2020,25,19,0.039737020291285674,2,2,1
1970,1999,24,17,0.36368214590567605,3,2,1
1992,2020,10,3,0.6136398204020704,1,3,2
1976,2000,24,16,0.9605418396488987,3,1,1
1976,2004,27,23,0.606539468490181,1,2,2
1989,2013,16,12,0.3593914748822372,3,1,2
1985,2018,29,22,0.9860413365739236,3,3,5
1991,2017,21,16,0.4827888756637415,2,2,3
1989,2020,17,11,0.1593447400385033,3,1,1
1993,2019,28,20,0.6479805568766793,2,2,4
1987,2014,20,15,0.993620090667717,3,2,4
1974,2010,17,11,0.7650992751514604,3,3,4
1970,1999,10,8,0.49546493232988587,2,3,5
1998,2020,21,14,0.9328078125263513,3,2,1
1989,2020,25,16,0.4028193071977624,1,3,1
1964,2004,28,26,0.03894413808547037,2,2,5
1977,2012,10,5,0.5479981255189438,1,1,5
1986,2006,29,24,0.8428980587519822,3,2,5
1986,2007,28,20,0.9743591249895341,1,1,2
1984,2020,19,17,0.47069689173580087,2,1,2
2001,2020,28,23,0.855838935109845,1,2,1
1987,2020,21,18,0.4728567768780869,1,1,3
1970,2000,25,20,0.7330745158204728,1,3,2
1999,2020,21,18,0.6657781110315496,1,1,2
1985,2006,13,6,0.3026857418757821,2,1,3
1998,2020,29,24,0.5019117738088523,3,1,1
1972,2011,18,16,0.8229212182526512,1,1,1
2000,2020,10,8,0.7191066447213165,3,1,5
1964,1995,15,9,0.3759640395063135,1,3,2
1982,2013,10,4,0.31030707488666653,3,3,3
1977,2012,26,17,0.2276700604706099,2,1,3
1961,1997,23,21,0.8653780657826023,2,2,1
1988,2020,11,5,0.46908805693083544,1,2,3
1987,2020,11,7,0.7010536570850533,3,1,2
1970,2005,19,15,0.09255833213860443,1,1,3
1998,2020,12,3,0.42606208092561904,1,3,4
1996,2020,24,15,0.9706058380559394,1,1,1
1977,2007,26,24,0.4260132733014824,3,3,2
1974,2011,28,22,0.3738210538537232,1,2,4
1968,2004,25,20,0.6578951481263184,2,2,4
1961,1987,12,8,0.9133140722545643,3,3,4
1970,1998,10,8,0.6982040381652483,3,2,5
1992,2020,10,1,0.09176590649159777,3,3,2
1989,2010,27,19,0.8678406683083211,2,3,5
1989,2018,29,25,0.7418177354779328,1,1,4
1997,2020,29,23,0.08303709161956296,1,1,2
1967,1985,24,18,0.9027113916124613,2,1,5
1972,1996,16,8,0.7534920730913705,2,1,4
1961,1983,19,13,0.14548549625226703,3,3,5
1980,2002,11,9,0.18031285474565606,3,2,5
1988,2013,16,11,0.13518078440690373,2,1,5
1980,2010,10,1,0.7956591487949201,3,1,4
1982,2005,15,9,0.396427777690493,1,3,5
1975,2015,24,20,0.9852895829641347,3,3,5
1972,2006,13,6,0.31492785363930975,3,3,3
1976,1995,23,20,0.8272476550744272,2,1,3
1979,2010,13,9,0.9454434526302735,2,2,2
1990,2020,27,20,0.0717950222464322,1,1,5
1987,2015,29,26,0.2646440180195052,2,3,5
1988,2019,13,9,0.6958048900244324,2,1,3
1993,2020,28,22,0.8515876925970164,2,1,3
1961,1998,13,6,0.5766004750159383,3,2,5
1991,2020,26,22,0.03845075243251783,3,3,5
1975,2003,12,4,0.06815474486562212,2,1,4
1978,2015,10,8,0.780179828032431,1,1,5
1991,2009,17,9,0.7597243740166316,2,3,2
1977,2006,22,16,0.9229500325720205,2,2,3
1992,2013,17,15,0.6841946530622571,1,2,3
1992,2013,17,9,0.9075645340048127,3,1,4
2001,2020,20,16,0.01735772156465243,2,2,1
1995,2020,12,7,0.654788099747863,3,1,5
1986,2005,27,23,0.39872919991181266,2,1,4
1977,2017,19,14,0.9749766245378417,1,1,4
1969,2004,15,6,0.020449378224325132,2,2,4
1977,2003,16,13,0.8670970055416195,1,2,1
1981,2001,16,9,0.7929241256184637,2,3,3
1981,2018,27,21,0.1175725795371435,3,2,4
1997,2020,27,25,0.3100319133879088,3,2,5
1973,2007,11,8,0.2999779041446343,1,3,3
1984,2003,19,15,0.24631984802412454,1,2,1
1978,2010,20,12,0.9785968651708771,2,2,2
1960,1996,11,5,0.28820849717115915,2,2,2
1993,2016,19,11,0.6455121397586501,1,1,5
1981,2019,17,8,0.13267539529850036,1,3,3
1968,1988,19,10,0.35531653634140414,1,1,1
1975,1995,25,17,0.304852537298947,1,2,5
1976,2002,21,12,0.31378368123168077,3,3,5
1961,1987,28,21,0.9831126854650293,1,2,1
1965,1988,19,16,0.78145335304804,1,1,2
1960,1993,21,13,0.6083230296686368,3,3,1
1980,2005,23,19,0.5869231016025561,1,1,3
1968,2006,26,17,0.31203677175110367,1,1,2
1971,1999,28,21,0.6133845695182634,3,1,1
1969,2005,21,14,0.4935752193713149,2,1,1
1967,2002,13,6,0.49575008533663933,3,3,2
1996,2017,12,7,0.8971026535285186,1,2,4
1989,2020,19,10,0.0756063888330396,1,3,3
1981,2015,19,13,0.07167319093859914,3,3,1
1968,1995,12,3,0.19540755299944057,1,2,3
1960,1983,19,12,0.6223063303070313,1,2,5
1978,2015,17,15,0.7433530849822564,1,1,2
1960,1995,25,22,0.3759006399190419,3,2,1
2001,2020,14,9,0.6079520173957317,1,2,2
1985,2020,20,17,0.17450178565387353,1,2,3
1971,2000,29,24,0.3845312487566639,1,2,2
2002,2020,16,13,0.5279336712183341,3,1,1
1989,2020,28,21,0.6235475632105544,2,3,1
1970,1999,26,20,0.8811415782445913,3,1,1
1997,2018,25,21,0.7762641740339251,2,2,5
1979,2011,15,8,0.7691449546387304,3,1,1
1975,2007,20,13,0.055828468732826764,1,2,5
1991,2019,12,7,0.08030038703490472,1,1,3
1972,2010,18,10,0.5567430766730778,3,3,2
1980,2004,25,16,0.1923157059356384,3,3,4
2002,2020,20,13,0.14310158523650518,3,2,3
1981,2000,11,9,0.6544903848060405,3,1,3
1968,2008,11,3,0.12341954613256378,3,2,3
1986,2020,23,17,0.5921989657193787,3,3,5
1993,2020,20,18,0.2378256117180101,3,2,5
1983,2013,15,8,0.9721110757796584,2,3,4
1994,2020,13,4,0.7914568252670723,1,1,4
1990,2016,27,18,0.14607502255731408,3,3,4
1963,1991,28,19,0.2727775381121984,1,1,1
1990,2019,26,18,0.3007807453838507,1,1,5
1990,2020,28,23,0.6260569068843842,1,3,4
2001,2020,22,15,0.990418174901157,1,3,1
1991,2019,11,5,0.34877096435384103,1,1,4
1995,2018,28,25,0.9879931612384373,1,1,1
1973,2005,25,16,0.3550181927226863,3,1,4
1973,2011,15,6,0.0766348690738693,2,2,5
1982,2019,19,13,0.7122587183899503,2,2,3
1968,1993,16,7,0.6022331630131718,2,2,2
1970,2005,22,17,0.6780010732659889,3,2,5
1983,2003,24,16,0.21115022631352331,3,3,4
1961,1980,15,7,0.8826821300160763,1,3,1
1988,2014,22,16,0.012463420487990873,1,2,3
1982,2009,28,26,0.30664223952021197,2,2,5
1998,2020,25,17,0.4816507704626064,3,3,4
1976,1997,10,4,0.45108734432903996,1,2,5
1972,2004,14,10,0.27738170751567115,2,1,5
1975,1999,15,10,0.2899149490929269,1,1,1
1976,1998,16,8,0.5960228797771555,3,2,3
1992,2011,10,8,0.641724955606721,2,1,4
1983,2015,18,14,0.786363453615496,1,3,2
1981,2006,11,3,0.7225369148347807,1,1,4
1977,1996,29,25,0.1357050331208538,1,3,3
1992,2015,24,21,0.621448441619965,2,1,2
1986,2008,21,14,0.23837853292378508,3,3,1
1975,2000,21,13,0.36594882477659396,2,1,4
1987,2020,27,21,0.5447221508545677,1,2,2
1968,1992,16,10,0.8750523347872529,2,2,5
1974,2008,11,6,0.6185053696264807,3,1,4
1967,2004,20,14,0.5284939163204415,3,2,3
2000,2020,15,6,0.3628828492099717,3,2,3
1961,1980,13,4,0.6114366707137465,1,3,1
2000,2020,25,20,0.6292572698694721,1,1,3
1992,2020,27,23,0.4157909797372934,3,3,5
1963,1996,25,23,0.8194888168647332,1,3,4
1978,2008,20,13,0.6498601150623057,3,3,1
1995,2020,29,21,0.1653906138881015,3,3,2
1999,2020,27,24,0.37590109376122505,3,2,1
1970,1997,18,16,0.9737708747766988,2,2,2
1985,2009,20,17,0.7280260405848207,3,3,2
1988,2020,18,10,0.3638807652645658,1,1,4
1993,2020,25,19,0.5955756097580869,3,2,3
1975,2015,14,6,0.03125027060478647,1,3,2
1990,2020,26,23,0.03072773525840755,1,2,4
1979,2017,22,14,0.20771690398496856,2,2,1
1978,2002,24,16,0.33615328988976556,2,2,2
1987,2013,14,12,0.3900916896787825,3,2,2
1998,2020,12,3,0.9543534988620587,3,1,1
1960,2000,12,9,0.6191048804064846,3,1,4
1960,1982,27,25,0.38571599671294576,2,3,1
2002,2020,21,19,0.1552634487319935,3,2,2
1971,1993,11,4,0.2774688590958,1,3,4
1969,1987,23,15,0.7614759755888897,3,3,3
1962,2001,13,11,0.11794749708672359,3,2,2
1986,2008,13,4,0.7378385952802505,1,3,2
1975,2000,19,15,0.8927591398205544,2,2,1
1973,1997,25,23,0.034627294590928615,1,3,2
1960,1995,12,3,0.907466830805176,2,1,4
1986,2008,23,16,0.7120501401386475,2,2,1
1979,2011,19,15,0.8224142091199905,1,2,4
1976,1999,29,26,0.8595483831186403,3,2,4
1962,1986,15,13,0.16911180697253014,2,3,3
1978,2002,18,10,0.5434043844046352,3,3,5
1980,2017,10,7,0.8476588336390881,1,3,5
1986,2020,12,6,0.701964738831374,2,3,5
1999,2020,23,19,0.8991624562850361,1,2,4
1978,2018,16,11,0.782792493413768,1,3,3
1972,2000,11,4,0.44686101893487373,1,2,2
1990,2015,23,21,0.8632973124162765,1,1,3
1962,1987,24,22,0.38302353795457456,1,3,1
1987,2011,25,18,0.5355804856608464,2,3,3
1980,2010,17,10,0.7918174901390714,2,2,5
1971,2007,28,24,0.28593603904359344,2,3,5
1989,2015,28,24,0.11298056678829238,3,2,1
1964,2000,16,14,0.3793124857587501,2,1,4
1977,2006,29,25,0.27841913086150705,2,1,3
1971,2006,20,13,0.22925920329465754,1,1,3
1982,2009,27,21,0.2301370856718562,1,2,5
1996,2020,29,26,0.49675911383921767,1,1,4
1966,2002,23,19,0.5312707987612001,1,3,2
1971,2008,10,1,0.3924701930691594,1,3,4
1961,1993,12,10,0.8122080206183169,2,1,2
1990,2014,29,23,0.7204251379559143,3,3,1
1968,1988,22,13,0.36054495052659574,1,1,3
1996,2020,13,6,0.8334896713631518,1,2,4
1979,2009,25,19,0.6157964950450001,1,2,4
1994,2020,25,23,0.7671913182584655,2,2,1
1993,2020,29,21,0.26972889032725833,3,2,1
1966,1985,16,8,0.090371500962667,2,1,5
1969,2008,26,20,0.9566475385741326,2,2,3
1984,2007,19,13,0.5636228932021038,3,2,3
1984,2013,26,22,0.7857660191381873,3,2,3
1990,2011,15,10,0.4695322014452463,1,2,3
1993,2018,15,9,0.20606551717126365,3,2,2
2001,2020,25,20,0.25986291452665855,3,1,3
2001,2020,10,2,0.6722368274869959,1,1,2
1961,1979,12,6,0.4043370070271296,3,1,5
1973,2010,24,20,0.8968179232592,1,1,2
1977,2001,13,6,0.24521020903308122,3,2,1
1969,1995,12,8,0.8082282197974887,2,2,2
1970,2003,21,16,0.7445482005902381,2,3,4
1991,2020,16,11,0.4741931664732947,3,3,1
1983,2020,13,11,0.5121801408928178,2,2,1
1976,2000,20,11,0.5176240535691129,2,2,1
1962,1983,20,18,0.4445880483940092,2,2,1
1985,2009,21,15,0.28003414503667723,2,3,1
2001,2020,28,25,0.09424250459272421,2,2,3
1994,2020,11,7,0.06537673683154488,2,2,4
1965,1988,19,10,0.9920903110404602,1,1,2
1994,2020,23,20,0.26499723244161355,3,2,1
2000,2020,13,9,0.8607633525627943,3,1,2
1977,1995,17,15,0.4297364152311638,1,1,1
2001,2020,12,8,0.7655509337047722,2,2,5
1994,2020,17,9,0.6214051650189688,3,2,2
1997,2018,27,22,0.9279669524768338,2,1,2
1993,2020,24,18,0.6488743893331699,3,3,5
1982,2010,27,23,0.765107957490838,3,1,2
1963,1988,18,10,0.15691304361243963,3,2,1
1970,2001,24,16,0.018400419341307095,3,1,2
1973,2002,27,18,0.8611076958267104,1,2,3
2001,2020,24,15,0.9822965022920247,1,1,1
2001,2020,18,10,0.23383111769207265,1,1,3
1979,2011,21,19,0.3741014640811001,3,2,3
1990,2020,11,9,0.5056957533932812,3,1,4
1965,2004,24,15,0.3662226016371013,1,1,2
1967,2007,24,21,0.694611147686399,1,3,2
1968,1986,25,23,0.9742967338389643,1,2,5
1961,1993,26,19,0.49606529138313205,1,3,4
1972,1996,15,12,0.0985676326335666,1,2,2
1992,2020,27,24,0.26049835002210975,2,1,4
1962,1985,16,13,0.2621116300562478,2,3,3
1992,2016,12,10,0.8657559317917538,3,3,3
1980,1998,22,18,0.3364209275614849,3,3,4
1976,2004,23,17,0.4053545107150197,3,2,1
2002,2020,27,18,0.8906687471131008,1,2,2
1971,1996,18,15,0.4090721419941735,1,2,1
1993,2015,28,21,0.468179093737514,1,1,1
1963,1990,15,10,0.38178907090097036,1,1,3
2000,2020,28,19,0.9299793812335673,1,2,1
1992,2020,21,16,0.03372616746220902,2,1,2
1998,2020,24,21,0.059038446937279776,3,1,4
1998,2017,22,17,0.6582799194608728,1,1,1
1992,2016,10,5,0.7284416673540005,2,2,1
1963,1986,11,6,0.705868324085009,1,3,4
1993,2020,28,21,0.8922942863892804,2,1,3
1992,2020,22,19,0.5605227502914506,3,1,1
1990,2013,18,12,0.41544786117576304,3,2,5
1964,1987,20,14,0.10129650908230803,2,1,5
1970,1999,19,14,0.9726457978269367,3,1,2
1979,2016,27,19,0.5114150254774094,3,2,3
1997,2020,24,19,0.6724002433244861,3,3,1
1990,2011,22,16,0.6825817151623192,1,3,2
1970,2008,29,23,0.9409600779671359,2,2,4
1985,2020,10,4,0.5153826250630412,2,3,3
2000,2020,17,11,0.596168796442159,3,1,1
1999,2020,25,18,0.17971546295447527,2,3,2
1992,2020,11,5,0.7041386489862115,3,2,5
1991,2020,26,19,0.3157800921199354,2,1,4
1979,2008,18,10,0.0734275175519129,1,1,4
1974,2012,22,15,0.3093904678020051,1,2,2
1978,2004,22,15,0.23638144708319975,2,1,2
1972,1996,15,10,0.5092709591491011,1,2,3
1997,2020,27,24,0.008297979454036986,3,3,5
1990,2020,12,4,0.03373096254165009,2,2,2
1961,1996,13,5,0.10678051348812012,1,3,1
1995,2018,29,25,0.9150648480776341,3,2,2
1988,2019,14,6,0.366008773762421,1,2,1
2002,2020,28,24,0.9281859593393316,3,2,5
1968,1997,21,19,0.9010024446784033,1,1,2
1966,1984,23,18,0.30749824608646115,2,3,1
1983,2010,26,18,0.2069859334304165,1,1,3
1981,2001,16,10,0.7569007477136479,3,1,3
1967,1991,23,21,0.1828779062441488,1,2,5
1995,2020,19,13,0.2987169613161773,1,2,4
1970,2005,19,17,0.789937479510534,1,3,2
1997,2020,16,10,0.5510360069342809,2,1,3
1974,2014,20,12,0.9400820207506557,1,3,3
1967,1991,26,19,0.8964687779534071,3,2,3
1975,1995,29,26,0.7957761520243284,2,1,1
1996,2020,28,19,0.4299433017935338,3,3,2
1965,1994,20,13,0.8767986334160457,3,3,1
1971,1989,10,2,0.6854675406343498,3,3,1
1972,2009,19,13,0.1359507291525469,1,2,5
1998,2020,21,19,0.5041143701695063,1,1,5
1978,2006,28,23,0.2651472863807456,1,1,4
1990,2020,20,14,0.8520888071861157,2,1,1
1975,1994,10,8,0.5833417139418283,3,3,1
1960,1989,29,23,0.4071423849548568,2,2,5
1976,2012,24,17,0.7550862565141473,2,1,2
1971,2010,14,12,0.7167253687154804,3,2,2
1992,2015,16,12,0.7577478759349262,1,2,3
1965,1989,15,9,0.31978013026670216,3,1,2
1964,1998,25,20,0.7767455542821085,3,1,1
2002,2020,18,13,0.5888930010393096,3,1,4
1961,1996,14,9,0.2780773327281185,2,1,3
1990,2020,29,24,0.7066597715096701,3,2,5
1965,1995,25,19,0.5498791052844559,2,2,3
1985,2013,24,21,0.5570760969453222,1,3,4
1986,2007,13,10,0.06445309556798628,1,1,5
1978,2001,15,10,0.37600274269507217,3,1,1
1971,2004,19,13,0.8837083600195681,2,3,3
1996,2020,16,9,0.04270028556138139,3,3,1
1984,2015,24,17,0.25020242781104274,3,1,3
1994,2020,27,20,0.9200658018228977,1,3,1
1971,1998,29,25,0.9817878765752871,1,1,5
1998,2020,25,20,0.6845172671341943,2,2,5
1984,2012,13,8,0.4680787107256398,3,2,5
1982,2017,12,8,0.3409034963653085,2,2,3
1974,2010,19,10,0.7821079219723596,2,2,2
1987,2015,18,15,0.3237302445797685,2,3,4
1991,2020,14,8,0.5616447986629683,3,2,1
1968,2007,27,23,0.07619161233996663,3,3,4
1991,2012,20,17,0.3703313714139794,1,2,1
1965,1989,18,11,0.5109460554660996,3,1,3
1960,1996,27,25,0.9599597470339096,3,1,5
1963,1997,14,6,0.9940764405008654,2,2,5
1992,2020,27,25,0.6656848898491099,2,1,1
1973,1996,11,5,0.5288670357980192,2,1,1
1971,2004,22,16,0.36765646305131383,2,1,3
1969,2007,25,23,0.1304783958706448,3,2,2
1993,2019,17,14,0.7895743368432956,3,1,5
1960,1992,11,6,0.23537284041520368,1,2,1
1986,2005,18,13,0.7457268289832614,1,3,1
1962,1984,11,5,0.5527152207865574,1,1,1
1984,2003,14,5,0.47170904625586285,3,2,2
1967,1998,22,17,0.1744868217077521,2,2,4
1999,2020,29,27,0.730878833156629,3,1,2
1989,2008,13,11,0.5910659277728255,1,1,3
2000,2020,10,5,0.574573321522898,2,3,1
1969,1993,16,9,0.2862113632393086,3,3,2
1984,2002,13,8,0.4366477327507785,1,2,3
2002,2020,19,15,0.4631508565986696,3,2,1
1960,1992,27,24,0.6663086270840474,2,1,2
1986,2010,29,23,0.5471718885501323,3,2,1
1975,2014,29,20,0.9996209016167038,2,1,4
1994,2020,11,5,0.849233341222771,1,3,1
1962,1990,19,15,0.3137167967181449,1,2,3
1998,2020,25,21,0.9911550241344331,3,1,1
1996,2020,13,11,0.7338836331961065,3,3,4
1991,2020,29,20,0.26157000326931257,3,1,3
1991,2019,15,11,0.03853033923993032,2,2,3
1981,2006,16,10,0.02115551803593363,3,3,3
2001,2020,25,17,0.4474413765717066,2,3,5
1970,1997,20,14,0.5023112334824986,1,3,3
1997,2020,14,7,0.951663381434159,3,1,4
1988,2014,13,5,0.48504051007146487,2,2,4
1988,2013,16,8,0.797297258467555,3,1,3
1960,1989,28,26,0.9314965611736283,1,2,1
1987,2016,16,14,0.6325717998793279,1,3,2
1981,2009,17,13,0.5751385129439794,2,1,1
1968,2003,25,19,0.3307080551175948,2,1,5
1999,2020,18,11,0.7273548048093058,1,1,5
1966,2000,13,5,0.4101277151988114,3,2,4
1965,1986,23,16,0.6548837110296906,2,1,5
1960,1991,10,5,0.4887758660903836,1,1,3
1982,2002,29,22,0.17944596455511896,1,2,4
1962,1995,26,21,0.3622139574100671,1,1,2
1999,2020,29,21,0.3914190842102878,2,1,2
1989,2020,23,21,0.2919933289266048,1,1,1
1962,1985,11,9,0.6867011500322298,3,2,3
1969,2003,16,7,0.6772336888968652,1,3,5
1982,2003,24,18,0.4855922522139655,1,3,3
1983,2014,10,4,0.048808333570967144,1,2,4
2000,2020,12,5,0.938300601473836,2,3,4
1961,2001,28,22,0.5411134589780288,2,2,5
1973,1996,16,7,0.022697796133523962,2,2,3
1986,2020,24,18,0.9224686084211152,2,1,5
1960,1992,27,21,0.29311501777103766,3,2,5
1976,2009,13,8,0.4036204181188302,3,1,2
